"SexM","age_gp16-75","age_gp75+","ur6_2016_nameOther Urban Areas","ur6_2016_nameAccessible Small Towns","ur6_2016_nameRemote Small Towns","ur6_2016_nameAccessible Rural","ur6_2016_nameRemote Rural","simd2020_sc_quintile2","simd2020_sc_quintile3","simd2020_sc_quintile4","simd2020_sc_quintile5","n_risk_gps1","n_risk_gps2","n_risk_gps3-4","n_risk_gps5+","last_positive_test_group0-13_weeks","last_positive_test_group14-26_weeks","last_positive_test_group27+_weeks","shielding","num_tests_6m_group1","num_tests_6m_group2","num_tests_6m_group3","num_tests_6m_group4-9","num_tests_6m_group10+","vaccine_deficit1","vaccine_deficit2","vaccine_deficit3","vaccine_deficit4"
0.00154671572795535,9.50978153366962e-05,0.000121351489591639,6.04135993197141e-07,-1.48102049189645e-05,-2.00029787448974e-05,-2.17793244389735e-05,-2.05932868122285e-05,-3.50366021569962e-06,-3.36693231306822e-05,-3.89128149523769e-05,-5.83082629989388e-05,1.28492649418951e-05,-1.43478130085801e-05,-3.65732026029828e-05,-4.69080045829598e-05,2.15442193612981e-05,2.16223703737136e-05,5.36214818164428e-05,4.91712043549121e-06,4.63918948872676e-05,7.45139429959437e-05,0.000113951075941719,0.000139958601773657,0.000265256854888536,-2.27559973943678e-05,-4.11554926539497e-05,-8.84520452263367e-05,8.51762458805923e-05
9.50978153366962e-05,0.0246724485694929,0.0242306755167234,0.000127720124496294,0.000107782868029638,0.000193414505558253,0.000122749603665996,0.000210303505989029,8.88202126332647e-05,7.99115069635297e-05,0.000177943237604039,0.000235405114886438,-0.00140076859443015,-0.00151107042452239,-0.00142646791221501,-0.00139035213990266,-9.91775914839567e-05,-6.88927853926886e-05,-3.04720782132986e-05,-0.000106018991702228,0.000187592939388054,6.20501166970763e-05,-5.80244554888007e-05,-0.000105712735031657,-0.000296189741462006,0.000210810801626281,0.00619150429204906,-0.000702536259315321,0.000177092804635149
0.000121351489591639,0.0242306755167234,0.0261175077917698,0.000113069053989853,6.44766106132372e-05,0.000103192810953169,5.30710355672158e-05,0.000180959914425633,-3.12711954598911e-05,-0.000100697201987617,-3.76701166357099e-05,-5.10428431865027e-05,-0.0017580651469748,-0.0024631602297588,-0.00281077274823102,-0.00298439521340885,9.83911575314304e-05,0.000261380215706762,0.000179277831906021,-1.04412555551012e-05,0.000406497522400008,0.000234638568146445,-2.26097640748868e-05,-0.000222908665909558,-0.000188029103866895,-4.58920438328479e-05,0.00616464663237019,-0.000120028165589999,-0.000807778585872324
6.04135993197141e-07,0.000127720124496294,0.000113069053989853,0.00221820335591371,0.0012634964292911,0.0013215777331321,0.0012722391267696,0.00134061153965765,-0.000229423314186528,-0.000293445789353643,-0.000190725901820275,0.000129323069184155,-9.83095650847837e-05,-0.000113585557898918,-0.000112365674874711,-9.0317162663144e-05,-4.22004114584224e-05,-1.46286753309969e-05,2.39343894468796e-05,3.54182555181943e-05,-2.40787955639555e-05,-1.09865595880542e-05,-1.19221271518427e-05,-1.23537267736786e-05,5.34957440559582e-05,3.17703678104595e-05,8.83483105431114e-05,0.000127924712796952,3.90540174969623e-05
-1.48102049189645e-05,0.000107782868029638,6.44766106132372e-05,0.0012634964292911,0.00533760760599238,0.00139471895240083,0.00137522281961434,0.00147853203990303,-0.000399724853155587,-0.000616162870153651,-0.00065042795457566,-0.000299475961611005,-8.3250742836942e-05,-0.000101564661347321,-0.000117770772038693,-0.000129807782398126,4.46028445498849e-06,2.76192176719465e-05,9.630266894403e-05,3.47113911383644e-05,-1.28068995278249e-05,8.53030922185358e-06,1.79178341945516e-05,4.5288006156532e-06,2.93549967402656e-05,3.43409668073423e-05,5.58318601161195e-05,0.00011496995093152,4.40214878759755e-05
-2.00029787448974e-05,0.000193414505558253,0.000103192810953169,0.0013215777331321,0.00139471895240083,0.00855006616721835,0.00143288955338028,0.00163726328271814,-0.000383745658891427,-0.000981563327932732,-0.000551504426564476,5.05855253675292e-05,-0.00011567240762641,-0.000148575344939748,-0.000140700540089487,-0.000149136954747762,1.80829624013386e-05,8.98608152583643e-05,0.000191867595959357,3.71997808130076e-06,-2.44153587363257e-06,1.55959364960003e-05,1.83662833858039e-05,1.2307382206377e-05,-2.94588327888131e-05,1.40302195784307e-05,0.000109602372344048,0.000106597052990884,-0.000117659896613011
-2.17793244389735e-05,0.000122749603665996,5.30710355672158e-05,0.0012722391267696,0.00137522281961434,0.00143288955338028,0.00577379308460956,0.00153231367303838,-0.000375970934536055,-0.000727280328078628,-0.000735772921095685,-0.000288264976930729,-4.60158754539806e-05,-4.02070898868398e-05,-3.76281561151146e-05,-1.82749253296393e-05,2.11779312444463e-05,4.19051796695104e-05,0.00010312132860504,7.67002650686655e-06,-1.65236332341433e-05,-2.15340774545033e-06,-2.05150211724383e-06,1.87627244211895e-05,7.98153171932825e-06,3.39889431976745e-05,9.70625666887512e-05,0.000116444899732921,9.08978360423142e-05
-2.05932868122285e-05,0.000210303505989029,0.000180959914425633,0.00134061153965765,0.00147853203990303,0.00163726328271814,0.00153231367303838,0.0106488048012942,-0.000395747138006852,-0.0012282936568774,-0.00103716913185317,-0.000139269754093006,-0.00017255599364629,-0.000230664830426937,-0.000264283057836949,-0.000374734005562625,-8.33600672488513e-06,0.000107164561167882,0.000231543342581965,6.60137592556354e-05,2.34211504690285e-05,4.75692340624476e-05,8.24279014081081e-05,4.48368478382561e-05,-1.4144148886257e-05,1.56790073796958e-05,8.65154150079343e-05,8.1051795713312e-05,-4.05021218759245e-05
-3.50366021569962e-06,8.88202126332647e-05,-3.12711954598911e-05,-0.000229423314186528,-0.000399724853155587,-0.000383745658891427,-0.000375970934536055,-0.000395747138006852,0.00323723538047321,0.00157865031097697,0.00157400720159172,0.00151115455666669,4.71891996877834e-05,8.19211695233288e-05,0.000118998638887235,0.000117947510719454,1.80991697452194e-05,4.05241521318474e-06,3.47029366762151e-05,6.83453281220584e-05,1.60341141626228e-07,2.88784691889433e-07,6.58999431241555e-06,3.77579799056596e-05,2.71034505774159e-05,0.000104147372802746,0.000218154295733595,0.000181051704337012,0.000120014255693259
-3.36693231306822e-05,7.99115069635297e-05,-0.000100697201987617,-0.000293445789353643,-0.000616162870153651,-0.000981563327932732,-0.000727280328078628,-0.0012282936568774,0.00157865031097697,0.0036046142529642,0.00173091552048845,0.00157665065193131,9.06904888757068e-05,0.000147908939176368,0.000203267071326015,0.000214752190838948,4.23807894801655e-05,2.85156545055591e-05,7.39700410755593e-05,0.00012553108691451,2.3905654997108e-06,7.89029878772439e-06,2.64733791769959e-05,6.32772103820349e-05,8.5503364436648e-05,0.000169375222448112,0.000274163552738754,0.000286169059789454,0.000194769119355331
