"label","levels","AZ","AZ_AZ","AZ_AZ_AZ","AZ_AZ_AZ_AZ","AZ_AZ_AZ_AZ_AZ","AZ_AZ_Mo","AZ_AZ_Mo_Mo","AZ_AZ_Mo_Mo_Mo","AZ_AZ_Mo_PB","AZ_AZ_PB","AZ_AZ_PB_Mo","AZ_AZ_PB_Mo_Mo","AZ_AZ_PB_PB","AZ_AZ_PB_PB_Mo","AZ_AZ_PB_PB_PB","AZ_Mo","AZ_Mo_Mo","AZ_Mo_Mo_Mo","AZ_PB","AZ_PB_PB","AZ_PB_PB_PB","Mo","Mo_Mo","Mo_Mo_Mo","Mo_Mo_Mo_Mo","Mo_Mo_Mo_Mo_Mo","Mo_Mo_PB","Mo_PB","PB","PB_AZ","PB_Mo","PB_Mo_Mo","PB_PB","PB_PB_Mo","PB_PB_Mo_Mo","PB_PB_Mo_PB","PB_PB_PB","PB_PB_PB_Mo","PB_PB_PB_Mo_Mo","PB_PB_PB_PB","PB_PB_PB_PB_Mo","PB_PB_PB_PB_PB","uv","v2_mixed","v3_mixed","v4_mixed","v5_mixed"
"Smoking status","Non-smoker","9379 (0.4)","57607 (2.7)","2486 (0.1)","199 (0.0)","26 (0.0)","203564 (9.5)","27867 (1.3)","980 (0.0)","4276 (0.2)","485030 (22.7)","34513 (1.6)","1687 (0.1)","86337 (4.0)","1743 (0.1)","3549 (0.2)","542 (0.0)","31 (0.0)","0 (0.0)","1764 (0.1)","1056 (0.0)","2 (0.0)","8555 (0.4)","23091 (1.1)","43721 (2.0)","82 (0.0)","4 (0.0)","19445 (0.9)","1453 (0.1)","30531 (1.4)","3 (0.0)","1201 (0.1)","10 (0.0)","123477 (5.8)","183847 (8.6)","6353 (0.3)","817 (0.0)","443665 (20.8)","12048 (0.6)","741 (0.0)","39285 (1.8)","728 (0.0)","2022 (0.1)","265430 (12.4)","104 (0.0)","1726 (0.1)","1201 (0.1)","1415 (0.1)"
NA,"Ex-smoker","4796 (0.7)","23567 (3.5)","847 (0.1)","125 (0.0)","8 (0.0)","64350 (9.6)","18323 (2.7)","466 (0.1)","2707 (0.4)","164898 (24.7)","23375 (3.5)","888 (0.1)","62685 (9.4)","967 (0.1)","2011 (0.3)","136 (0.0)","20 (0.0)","0 (0.0)","643 (0.1)","461 (0.1)","1 (0.0)","1368 (0.2)","3481 (0.5)","5581 (0.8)","24 (0.0)","0 (0.0)","2252 (0.3)","151 (0.0)","5397 (0.8)","0 (0.0)","178 (0.0)","4 (0.0)","21499 (3.2)","41734 (6.2)","3958 (0.6)","442 (0.1)","111439 (16.7)","7585 (1.1)","352 (0.1)","27855 (4.2)","319 (0.0)","1028 (0.2)","60727 (9.1)","71 (0.0)","367 (0.1)","659 (0.1)","665 (0.1)"
NA,"Smoker","16172 (1.5)","67472 (6.2)","1612 (0.1)","116 (0.0)","14 (0.0)","111367 (10.2)","15027 (1.4)","564 (0.1)","2545 (0.2)","280587 (25.7)","17189 (1.6)","964 (0.1)","45381 (4.2)","1056 (0.1)","2158 (0.2)","383 (0.0)","18 (0.0)","1 (0.0)","1929 (0.2)","739 (0.1)","4 (0.0)","4421 (0.4)","9179 (0.8)","9677 (0.9)","38 (0.0)","1 (0.0)","3743 (0.3)","509 (0.0)","17078 (1.6)","0 (0.0)","347 (0.0)","4 (0.0)","57544 (5.3)","65053 (5.9)","3890 (0.4)","442 (0.0)","182805 (16.7)","6625 (0.6)","421 (0.0)","20994 (1.9)","367 (0.0)","1228 (0.1)","141145 (12.9)","162 (0.0)","858 (0.1)","772 (0.1)","770 (0.1)"
"Blood pressure","Normal","23882 (0.8)","114098 (3.9)","3992 (0.1)","345 (0.0)","39 (0.0)","275596 (9.4)","43365 (1.5)","1486 (0.1)","7628 (0.3)","726287 (24.9)","51851 (1.8)","2543 (0.1)","155475 (5.3)","2872 (0.1)","6402 (0.2)","798 (0.0)","50 (0.0)","0 (0.0)","3423 (0.1)","1802 (0.1)","5 (0.0)","9474 (0.3)","24629 (0.8)","39128 (1.3)","97 (0.0)","5 (0.0)","18873 (0.6)","1683 (0.1)","40112 (1.4)","2 (0.0)","1073 (0.0)","10 (0.0)","152810 (5.2)","207870 (7.1)","10546 (0.4)","1338 (0.0)","581876 (19.9)","17845 (0.6)","1107 (0.0)","70705 (2.4)","981 (0.0)","3633 (0.1)","306707 (10.5)","263 (0.0)","2340 (0.1)","2092 (0.1)","2192 (0.1)"
NA,"Low","594 (0.8)","2921 (3.8)","58 (0.1)","5 (0.0)","1 (0.0)","6865 (8.9)","638 (0.8)","29 (0.0)","72 (0.1)","12961 (16.9)","810 (1.1)","59 (0.1)","1799 (2.3)","55 (0.1)","84 (0.1)","16 (0.0)","1 (0.0)","0 (0.0)","90 (0.1)","52 (0.1)","0 (0.0)","396 (0.5)","965 (1.3)","1660 (2.2)","2 (0.0)","0 (0.0)","531 (0.7)","32 (0.0)","2202 (2.9)","0 (0.0)","43 (0.1)","0 (0.0)","7688 (10.0)","6082 (7.9)","127 (0.2)","14 (0.0)","16077 (21.0)","321 (0.4)","14 (0.0)","913 (1.2)","35 (0.0)","38 (0.0)","12321 (16.1)","8 (0.0)","59 (0.1)","38 (0.0)","29 (0.0)"
NA,"High","4135 (0.9)","20559 (4.2)","698 (0.1)","79 (0.0)","7 (0.0)","58546 (12.1)","13711 (2.8)","355 (0.1)","1403 (0.3)","143082 (29.6)","18309 (3.8)","711 (0.1)","30962 (6.4)","664 (0.1)","1014 (0.2)","104 (0.0)","11 (0.0)","1 (0.0)","504 (0.1)","290 (0.1)","0 (0.0)","742 (0.2)","1730 (0.4)","2895 (0.6)","15 (0.0)","0 (0.0)","1084 (0.2)","58 (0.0)","3338 (0.7)","0 (0.0)","95 (0.0)","5 (0.0)","13293 (2.7)","28238 (5.8)","2843 (0.6)","279 (0.1)","77643 (16.0)","6789 (1.4)","308 (0.1)","14680 (3.0)","325 (0.1)","546 (0.1)","32939 (6.8)","47 (0.0)","276 (0.1)","393 (0.1)","473 (0.1)"
NA,"Very high","1175 (1.2)","5291 (5.2)","165 (0.2)","17 (0.0)","1 (0.0)","12310 (12.1)","3084 (3.0)","96 (0.1)","355 (0.3)","29111 (28.7)","3955 (3.9)","171 (0.2)","6964 (6.9)","152 (0.1)","251 (0.2)","32 (0.0)","6 (0.0)","0 (0.0)","120 (0.1)","80 (0.1)","1 (0.0)","147 (0.1)","287 (0.3)","424 (0.4)","5 (0.0)","0 (0.0)","159 (0.2)","6 (0.0)","688 (0.7)","0 (0.0)","25 (0.0)","0 (0.0)","2641 (2.6)","5393 (5.3)","560 (0.6)","56 (0.1)","14388 (14.2)","1394 (1.4)","58 (0.1)","3513 (3.5)","65 (0.1)","106 (0.1)","8003 (7.9)","16 (0.0)","51 (0.1)","90 (0.1)","102 (0.1)"
"Housing category","Neither","35655 (0.7)","171421 (3.2)","5409 (0.1)","466 (0.0)","56 (0.0)","408646 (7.5)","62715 (1.2)","2109 (0.0)","9677 (0.2)","1027184 (18.9)","76828 (1.4)","3644 (0.1)","204444 (3.8)","3930 (0.1)","8391 (0.2)","1276 (0.0)","76 (0.0)","2 (0.0)","5288 (0.1)","2589 (0.0)","8 (0.0)","20318 (0.4)","50553 (0.9)","80242 (1.5)","171 (0.0)","7 (0.0)","34452 (0.6)","3232 (0.1)","171228 (3.2)","4 (0.0)","2624 (0.0)","22 (0.0)","463914 (8.6)","351663 (6.5)","14617 (0.3)","1733 (0.0)","907813 (16.7)","26411 (0.5)","1580 (0.0)","86668 (1.6)","1478 (0.0)","4717 (0.1)","1159103 (21.4)","398 (0.0)","3816 (0.1)","2660 (0.0)","2970 (0.1)"
NA,"Care home","68 (0.3)","288 (1.1)","9 (0.0)","5 (0.0)","0 (0.0)","418 (1.6)","78 (0.3)","0 (0.0)","132 (0.5)","2093 (8.2)","326 (1.3)","4 (0.0)","3405 (13.3)","9 (0.0)","14 (0.1)","0 (0.0)","0 (0.0)","0 (0.0)","61 (0.2)","77 (0.3)","0 (0.0)","6 (0.0)","7 (0.0)","8 (0.0)","0 (0.0)","0 (0.0)","4 (0.0)","2 (0.0)","124 (0.5)","0 (0.0)","2 (0.0)","0 (0.0)","400 (1.6)","129 (0.5)","13 (0.1)","60 (0.2)","3711 (14.5)","1175 (4.6)","1 (0.0)","12128 (47.5)","6 (0.0)","17 (0.1)","574 (2.2)","6 (0.0)","31 (0.1)","143 (0.6)","13 (0.1)"
NA,"Homeless","44 (5.8)","77 (10.1)","0 (0.0)","0 (0.0)","0 (0.0)","127 (16.7)","0 (0.0)","0 (0.0)","1 (0.1)","52 (6.8)","4 (0.5)","0 (0.0)","4 (0.5)","0 (0.0)","0 (0.0)","4 (0.5)","0 (0.0)","0 (0.0)","1 (0.1)","1 (0.1)","0 (0.0)","46 (6.1)","41 (5.4)","29 (3.8)","0 (0.0)","0 (0.0)","4 (0.5)","2 (0.3)","31 (4.1)","0 (0.0)","2 (0.3)","0 (0.0)","33 (4.3)","20 (2.6)","0 (0.0)","0 (0.0)","27 (3.6)","1 (0.1)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","206 (27.2)","0 (0.0)","2 (0.3)","0 (0.0)","0 (0.0)"
"Learning disability/Down's syndrome","Neither","35231 (0.7)","169348 (3.1)","5352 (0.1)","469 (0.0)","54 (0.0)","402514 (7.5)","62287 (1.2)","2091 (0.0)","9667 (0.2)","1015311 (18.9)","76708 (1.4)","3627 (0.1)","206071 (3.8)","3904 (0.1)","8344 (0.2)","1258 (0.0)","75 (0.0)","2 (0.0)","5251 (0.1)","2613 (0.0)","7 (0.0)","20080 (0.4)","50005 (0.9)","79367 (1.5)","168 (0.0)","7 (0.0)","34113 (0.6)","3202 (0.1)","167602 (3.1)","4 (0.0)","2601 (0.0)","22 (0.0)","455605 (8.5)","348679 (6.5)","14526 (0.3)","1765 (0.0)","901583 (16.8)","27377 (0.5)","1570 (0.0)","97579 (1.8)","1473 (0.0)","4698 (0.1)","1145134 (21.3)","399 (0.0)","3800 (0.1)","2764 (0.1)","2962 (0.1)"
NA,"Down's syndrome","2 (0.1)","61 (2.6)","2 (0.1)","0 (0.0)","1 (0.0)","193 (8.3)","21 (0.9)","2 (0.1)","5 (0.2)","711 (30.6)","32 (1.4)","0 (0.0)","68 (2.9)","3 (0.1)","3 (0.1)","1 (0.0)","0 (0.0)","0 (0.0)","4 (0.2)","0 (0.0)","0 (0.0)","3 (0.1)","1 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","2 (0.1)","0 (0.0)","83 (3.6)","0 (0.0)","1 (0.0)","0 (0.0)","245 (10.6)","33 (1.4)","4 (0.2)","1 (0.0)","370 (15.9)","18 (0.8)","0 (0.0)","70 (3.0)","0 (0.0)","1 (0.0)","376 (16.2)","0 (0.0)","2 (0.1)","2 (0.1)","1 (0.0)"
NA,"Learning disability","534 (0.8)","2377 (3.4)","64 (0.1)","2 (0.0)","1 (0.0)","6484 (9.4)","485 (0.7)","16 (0.0)","138 (0.2)","13307 (19.3)","418 (0.6)","21 (0.0)","1714 (2.5)","32 (0.0)","58 (0.1)","21 (0.0)","1 (0.0)","0 (0.0)","95 (0.1)","54 (0.1)","1 (0.0)","287 (0.4)","595 (0.9)","912 (1.3)","3 (0.0)","0 (0.0)","345 (0.5)","34 (0.0)","3698 (5.4)","0 (0.0)","26 (0.0)","0 (0.0)","8497 (12.3)","3100 (4.5)","100 (0.1)","27 (0.0)","9598 (13.9)","192 (0.3)","11 (0.0)","1147 (1.7)","11 (0.0)","35 (0.1)","14374 (20.9)","5 (0.0)","47 (0.1)","37 (0.1)","20 (0.0)"
"Chronic Kidney Disease","No CKD","35306 (0.7)","168587 (3.2)","5184 (0.1)","404 (0.0)","51 (0.0)","401647 (7.6)","51438 (1.0)","1798 (0.0)","7871 (0.1)","1000912 (19.0)","62553 (1.2)","3068 (0.1)","163931 (3.1)","3249 (0.1)","6846 (0.1)","1253 (0.0)","58 (0.0)","2 (0.0)","5211 (0.1)","2513 (0.0)","6 (0.0)","20319 (0.4)","50555 (1.0)","80244 (1.5)","168 (0.0)","7 (0.0)","34449 (0.7)","3234 (0.1)","171124 (3.2)","3 (0.0)","2603 (0.0)","20 (0.0)","463219 (8.8)","347057 (6.6)","13106 (0.2)","1615 (0.0)","893370 (16.9)","24065 (0.5)","1376 (0.0)","81732 (1.5)","1252 (0.0)","4009 (0.1)","1157379 (21.9)","396 (0.0)","3747 (0.1)","2299 (0.0)","2508 (0.0)"
NA,"CKD 3","461 (0.3)","3199 (1.9)","234 (0.1)","67 (0.0)","5 (0.0)","7544 (4.5)","11353 (6.8)","311 (0.2)","1939 (1.2)","28410 (17.0)","14598 (8.8)","580 (0.3)","43922 (26.3)","690 (0.4)","1558 (0.9)","27 (0.0)","18 (0.0)","0 (0.0)","139 (0.1)","154 (0.1)","2 (0.0)","51 (0.0)","46 (0.0)","35 (0.0)","3 (0.0)","0 (0.0)","11 (0.0)","2 (0.0)","259 (0.2)","1 (0.0)","25 (0.0)","2 (0.0)","1128 (0.7)","4755 (2.9)","1524 (0.9)","178 (0.1)","18180 (10.9)","3520 (2.1)","202 (0.1)","17064 (10.2)","232 (0.1)","725 (0.4)","2504 (1.5)","8 (0.0)","102 (0.1)","504 (0.3)","475 (0.3)"
NA,"CKD 4","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","2 (10.5)","0 (0.0)","0 (0.0)","7 (36.8)","7 (36.8)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","1 (5.3)","2 (10.5)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)"
NA,"CKD 5","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","1 (25.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","1 (25.0)","1 (25.0)","1 (25.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)"
"Atrial Fibrillation","","310 (0.3)","2441 (2.1)","132 (0.1)","45 (0.0)","0 (0.0)","6825 (6.0)","7345 (6.4)","122 (0.1)","1182 (1.0)","23012 (20.1)","9057 (7.9)","243 (0.2)","27091 (23.7)","258 (0.2)","612 (0.5)","22 (0.0)","15 (0.0)","0 (0.0)","107 (0.1)","126 (0.1)","1 (0.0)","39 (0.0)","47 (0.0)","30 (0.0)","1 (0.0)","0 (0.0)","10 (0.0)","3 (0.0)","202 (0.2)","0 (0.0)","13 (0.0)","1 (0.0)","820 (0.7)","4010 (3.5)","1014 (0.9)","120 (0.1)","13704 (12.0)","2205 (1.9)","81 (0.1)","9973 (8.7)","73 (0.1)","269 (0.2)","2134 (1.9)","10 (0.0)","87 (0.1)","262 (0.2)","191 (0.2)"
"Asthma","","3572 (0.7)","18477 (3.4)","1138 (0.2)","109 (0.0)","16 (0.0)","46614 (8.6)","6814 (1.3)","253 (0.0)","1029 (0.2)","122783 (22.7)","8437 (1.6)","465 (0.1)","22874 (4.2)","528 (0.1)","1162 (0.2)","139 (0.0)","9 (0.0)","0 (0.0)","695 (0.1)","340 (0.1)","1 (0.0)","1968 (0.4)","5183 (1.0)","8292 (1.5)","15 (0.0)","0 (0.0)","4162 (0.8)","370 (0.1)","14898 (2.8)","1 (0.0)","230 (0.0)","1 (0.0)","45067 (8.3)","36478 (6.8)","1425 (0.3)","187 (0.0)","110789 (20.5)","2892 (0.5)","198 (0.0)","10351 (1.9)","160 (0.0)","675 (0.1)","59795 (11.1)","43 (0.0)","481 (0.1)","380 (0.1)","382 (0.1)"
"Blood cancer","","80 (0.4)","559 (2.7)","32 (0.2)","10 (0.0)","7 (0.0)","768 (3.7)","1282 (6.2)","293 (1.4)","194 (0.9)","2246 (10.9)","1568 (7.6)","516 (2.5)","3890 (18.9)","584 (2.8)","1161 (5.7)","6 (0.0)","0 (0.0)","0 (0.0)","18 (0.1)","11 (0.1)","1 (0.0)","14 (0.1)","29 (0.1)","24 (0.1)","8 (0.0)","0 (0.0)","6 (0.0)","0 (0.0)","112 (0.5)","0 (0.0)","1 (0.0)","1 (0.0)","377 (1.8)","255 (1.2)","395 (1.9)","57 (0.3)","1216 (5.9)","612 (3.0)","232 (1.1)","1857 (9.0)","219 (1.1)","558 (2.7)","824 (4.0)","0 (0.0)","4 (0.0)","96 (0.5)","405 (2.0)"
"Congestive Cardiac Failure","","184 (0.4)","1343 (2.9)","74 (0.2)","13 (0.0)","0 (0.0)","3412 (7.2)","2886 (6.1)","42 (0.1)","483 (1.0)","10640 (22.6)","3135 (6.7)","92 (0.2)","10258 (21.8)","105 (0.2)","295 (0.6)","14 (0.0)","1 (0.0)","0 (0.0)","53 (0.1)","50 (0.1)","2 (0.0)","34 (0.1)","20 (0.0)","21 (0.0)","0 (0.0)","0 (0.0)","8 (0.0)","1 (0.0)","131 (0.3)","0 (0.0)","7 (0.0)","0 (0.0)","456 (1.0)","1584 (3.4)","403 (0.9)","36 (0.1)","5288 (11.2)","810 (1.7)","37 (0.1)","3679 (7.8)","31 (0.1)","95 (0.2)","1109 (2.4)","1 (0.0)","43 (0.1)","106 (0.2)","90 (0.2)"
"Cerebral Palsy","","49 (0.7)","297 (4.3)","10 (0.1)","1 (0.0)","0 (0.0)","1036 (15.1)","44 (0.6)","1 (0.0)","7 (0.1)","2300 (33.6)","44 (0.6)","4 (0.1)","206 (3.0)","1 (0.0)","8 (0.1)","3 (0.0)","0 (0.0)","0 (0.0)","16 (0.2)","7 (0.1)","0 (0.0)","9 (0.1)","14 (0.2)","12 (0.2)","0 (0.0)","0 (0.0)","6 (0.1)","1 (0.0)","178 (2.6)","0 (0.0)","3 (0.0)","0 (0.0)","500 (7.3)","170 (2.5)","6 (0.1)","2 (0.0)","905 (13.2)","17 (0.2)","0 (0.0)","140 (2.0)","0 (0.0)","4 (0.1)","831 (12.1)","0 (0.0)","7 (0.1)","3 (0.0)","4 (0.1)"
"Coronary heart disease","","873 (0.5)","5192 (2.7)","336 (0.2)","59 (0.0)","4 (0.0)","14404 (7.6)","9494 (5.0)","170 (0.1)","1561 (0.8)","45950 (24.1)","12317 (6.5)","328 (0.2)","34239 (18.0)","381 (0.2)","854 (0.4)","37 (0.0)","12 (0.0)","0 (0.0)","188 (0.1)","173 (0.1)","1 (0.0)","91 (0.0)","79 (0.0)","62 (0.0)","4 (0.0)","0 (0.0)","26 (0.0)","3 (0.0)","455 (0.2)","0 (0.0)","18 (0.0)","1 (0.0)","1782 (0.9)","8640 (4.5)","1694 (0.9)","192 (0.1)","27509 (14.4)","3509 (1.8)","118 (0.1)","14055 (7.4)","116 (0.1)","386 (0.2)","4508 (2.4)","13 (0.0)","146 (0.1)","376 (0.2)","247 (0.1)"
"Liver cirrhosis","","122 (1.1)","534 (4.9)","24 (0.2)","3 (0.0)","0 (0.0)","1450 (13.4)","395 (3.6)","42 (0.4)","60 (0.6)","2854 (26.4)","385 (3.6)","75 (0.7)","871 (8.0)","79 (0.7)","132 (1.2)","8 (0.1)","2 (0.0)","0 (0.0)","20 (0.2)","12 (0.1)","0 (0.0)","18 (0.2)","13 (0.1)","13 (0.1)","1 (0.0)","0 (0.0)","5 (0.0)","0 (0.0)","54 (0.5)","0 (0.0)","1 (0.0)","1 (0.0)","182 (1.7)","590 (5.4)","101 (0.9)","18 (0.2)","1477 (13.6)","152 (1.4)","31 (0.3)","477 (4.4)","21 (0.2)","57 (0.5)","442 (4.1)","4 (0.0)","17 (0.2)","26 (0.2)","57 (0.5)"
"Congenital heart disease","","205 (0.8)","1214 (4.8)","57 (0.2)","3 (0.0)","2 (0.0)","2904 (11.4)","215 (0.8)","6 (0.0)","35 (0.1)","6418 (25.2)","273 (1.1)","19 (0.1)","678 (2.7)","15 (0.1)","43 (0.2)","8 (0.0)","0 (0.0)","0 (0.0)","29 (0.1)","21 (0.1)","0 (0.0)","46 (0.2)","48 (0.2)","57 (0.2)","0 (0.0)","0 (0.0)","16 (0.1)","5 (0.0)","801 (3.2)","0 (0.0)","4 (0.0)","0 (0.0)","2307 (9.1)","952 (3.7)","52 (0.2)","4 (0.0)","3958 (15.6)","122 (0.5)","4 (0.0)","372 (1.5)","10 (0.0)","25 (0.1)","4449 (17.5)","1 (0.0)","16 (0.1)","11 (0.0)","19 (0.1)"
"COPD","","1031 (0.9)","5228 (4.4)","257 (0.2)","49 (0.0)","3 (0.0)","12058 (10.2)","5359 (4.5)","139 (0.1)","871 (0.7)","32036 (27.1)","5731 (4.8)","225 (0.2)","17012 (14.4)","283 (0.2)","590 (0.5)","45 (0.0)","5 (0.0)","0 (0.0)","167 (0.1)","129 (0.1)","3 (0.0)","81 (0.1)","61 (0.1)","48 (0.0)","0 (0.0)","0 (0.0)","13 (0.0)","2 (0.0)","416 (0.4)","0 (0.0)","18 (0.0)","1 (0.0)","1591 (1.3)","4727 (4.0)","821 (0.7)","99 (0.1)","16803 (14.2)","1676 (1.4)","62 (0.1)","6156 (5.2)","68 (0.1)","261 (0.2)","3724 (3.1)","16 (0.0)","121 (0.1)","233 (0.2)","200 (0.2)"
"Dementia","","55 (0.2)","464 (2.0)","13 (0.1)","6 (0.0)","0 (0.0)","704 (3.0)","1340 (5.7)","6 (0.0)","348 (1.5)","2784 (11.9)","1344 (5.8)","10 (0.0)","5528 (23.7)","12 (0.1)","54 (0.2)","4 (0.0)","7 (0.0)","0 (0.0)","32 (0.1)","43 (0.2)","1 (0.0)","6 (0.0)","4 (0.0)","3 (0.0)","0 (0.0)","0 (0.0)","2 (0.0)","1 (0.0)","53 (0.2)","0 (0.0)","4 (0.0)","0 (0.0)","226 (1.0)","310 (1.3)","99 (0.4)","43 (0.2)","2317 (9.9)","771 (3.3)","3 (0.0)","6265 (26.8)","5 (0.0)","22 (0.1)","359 (1.5)","4 (0.0)","28 (0.1)","85 (0.4)","8 (0.0)"
"Diabetes Type 1","","1072 (1.6)","4337 (6.3)","145 (0.2)","7 (0.0)","0 (0.0)","9427 (13.7)","931 (1.4)","35 (0.1)","175 (0.3)","23061 (33.5)","1005 (1.5)","72 (0.1)","3410 (4.9)","75 (0.1)","123 (0.2)","37 (0.1)","1 (0.0)","0 (0.0)","145 (0.2)","73 (0.1)","1 (0.0)","138 (0.2)","189 (0.3)","146 (0.2)","2 (0.0)","0 (0.0)","41 (0.1)","7 (0.0)","1068 (1.6)","0 (0.0)","18 (0.0)","1 (0.0)","2800 (4.1)","2088 (3.0)","220 (0.3)","27 (0.0)","8867 (12.9)","494 (0.7)","32 (0.0)","2084 (3.0)","17 (0.0)","73 (0.1)","6253 (9.1)","6 (0.0)","69 (0.1)","51 (0.1)","68 (0.1)"
"Diabetes Type 2","","1364 (0.6)","6941 (3.1)","267 (0.1)","40 (0.0)","5 (0.0)","15709 (7.1)","6132 (2.8)","137 (0.1)","1070 (0.5)","46725 (21.0)","7120 (3.2)","249 (0.1)","23534 (10.6)","250 (0.1)","702 (0.3)","52 (0.0)","10 (0.0)","0 (0.0)","273 (0.1)","202 (0.1)","1 (0.0)","697 (0.3)","1658 (0.7)","2339 (1.1)","2 (0.0)","0 (0.0)","1376 (0.6)","141 (0.1)","5058 (2.3)","0 (0.0)","67 (0.0)","2 (0.0)","15157 (6.8)","12219 (5.5)","948 (0.4)","116 (0.1)","37468 (16.9)","2100 (0.9)","93 (0.0)","10685 (4.8)","88 (0.0)","342 (0.2)","20237 (9.1)","22 (0.0)","208 (0.1)","289 (0.1)","234 (0.1)"
"Epilepsy","","41 (1.0)","265 (6.7)","8 (0.2)","0 (0.0)","0 (0.0)","386 (9.8)","461 (11.7)","15 (0.4)","93 (2.4)","435 (11.1)","252 (6.4)","4 (0.1)","401 (10.2)","6 (0.2)","10 (0.3)","1 (0.0)","0 (0.0)","0 (0.0)","11 (0.3)","3 (0.1)","0 (0.0)","14 (0.4)","20 (0.5)","13 (0.3)","2 (0.1)","1 (0.0)","3 (0.1)","1 (0.0)","54 (1.4)","0 (0.0)","2 (0.1)","0 (0.0)","106 (2.7)","143 (3.6)","133 (3.4)","26 (0.7)","225 (5.7)","149 (3.8)","5 (0.1)","207 (5.3)","4 (0.1)","6 (0.2)","400 (10.2)","0 (0.0)","5 (0.1)","12 (0.3)","12 (0.3)"
"Hip, wrist, spine, humerus fracture","","11 (0.6)","62 (3.2)","5 (0.3)","2 (0.1)","1 (0.1)","91 (4.7)","124 (6.4)","18 (0.9)","18 (0.9)","250 (13.0)","140 (7.3)","17 (0.9)","282 (14.6)","27 (1.4)","45 (2.3)","0 (0.0)","1 (0.1)","0 (0.0)","2 (0.1)","2 (0.1)","0 (0.0)","6 (0.3)","5 (0.3)","3 (0.2)","2 (0.1)","0 (0.0)","3 (0.2)","1 (0.1)","28 (1.5)","0 (0.0)","1 (0.1)","0 (0.0)","110 (5.7)","28 (1.5)","32 (1.7)","2 (0.1)","127 (6.6)","70 (3.6)","6 (0.3)","134 (7.0)","8 (0.4)","26 (1.3)","212 (11.0)","0 (0.0)","0 (0.0)","5 (0.3)","21 (1.1)"
"HIV/AIDS","","120 (0.6)","665 (3.5)","53 (0.3)","3 (0.0)","1 (0.0)","2308 (12.3)","433 (2.3)","71 (0.4)","93 (0.5)","6442 (34.3)","449 (2.4)","85 (0.5)","1715 (9.1)","107 (0.6)","208 (1.1)","9 (0.0)","0 (0.0)","0 (0.0)","26 (0.1)","27 (0.1)","0 (0.0)","11 (0.1)","29 (0.2)","28 (0.1)","1 (0.0)","0 (0.0)","9 (0.0)","2 (0.0)","68 (0.4)","0 (0.0)","3 (0.0)","1 (0.0)","248 (1.3)","681 (3.6)","109 (0.6)","15 (0.1)","2662 (14.2)","223 (1.2)","35 (0.2)","921 (4.9)","37 (0.2)","79 (0.4)","686 (3.7)","2 (0.0)","13 (0.1)","54 (0.3)","65 (0.3)"
"Severe combine immunodeficiency","","30 (0.3)","193 (2.0)","10 (0.1)","0 (0.0)","0 (0.0)","616 (6.3)","498 (5.1)","6 (0.1)","91 (0.9)","2137 (22.0)","546 (5.6)","13 (0.1)","2175 (22.4)","7 (0.1)","34 (0.4)","4 (0.0)","0 (0.0)","0 (0.0)","10 (0.1)","11 (0.1)","0 (0.0)","5 (0.1)","3 (0.0)","5 (0.1)","0 (0.0)","0 (0.0)","1 (0.0)","1 (0.0)","10 (0.1)","0 (0.0)","1 (0.0)","0 (0.0)","56 (0.6)","370 (3.8)","93 (1.0)","13 (0.1)","1209 (12.5)","186 (1.9)","3 (0.0)","1139 (11.7)","2 (0.0)","19 (0.2)","161 (1.7)","0 (0.0)","19 (0.2)","24 (0.2)","7 (0.1)"
