"label","levels","AZ","AZ_AZ","AZ_AZ_AZ","AZ_AZ_AZ_AZ","AZ_AZ_AZ_AZ_AZ","AZ_AZ_Mo","AZ_AZ_Mo_Mo","AZ_AZ_Mo_Mo_Mo","AZ_AZ_Mo_PB","AZ_AZ_PB","AZ_AZ_PB_Mo","AZ_AZ_PB_Mo_Mo","AZ_AZ_PB_PB","AZ_AZ_PB_PB_Mo","AZ_AZ_PB_PB_PB","AZ_Mo","AZ_Mo_Mo","AZ_Mo_Mo_Mo","AZ_PB","AZ_PB_PB","AZ_PB_PB_PB","Mo","Mo_Mo","Mo_Mo_Mo","Mo_Mo_Mo_Mo","Mo_Mo_Mo_Mo_Mo","Mo_Mo_PB","Mo_PB","PB","PB_AZ","PB_Mo","PB_Mo_Mo","PB_PB","PB_PB_Mo","PB_PB_Mo_Mo","PB_PB_Mo_PB","PB_PB_PB","PB_PB_PB_Mo","PB_PB_PB_Mo_Mo","PB_PB_PB_PB","PB_PB_PB_PB_Mo","PB_PB_PB_PB_PB","uv","v2_mixed","v3_mixed","v4_mixed","v5_mixed"
NA,"Remote Rural","1194 (0.4)","6911 (2.6)","236 (0.1)","29 (0.0)","1 (0.0)","1759 (0.7)","88 (0.0)","3 (0.0)","49 (0.0)","78901 (29.6)","1290 (0.5)","47 (0.0)","17951 (6.7)","76 (0.0)","559 (0.2)","6 (0.0)","0 (0.0)","0 (0.0)","275 (0.1)","164 (0.1)","2 (0.0)","145 (0.1)","294 (0.1)","411 (0.2)","0 (0.0)","0 (0.0)","229 (0.1)","32 (0.0)","8919 (3.3)","0 (0.0)","28 (0.0)","0 (0.0)","23140 (8.7)","3349 (1.3)","19 (0.0)","12 (0.0)","62831 (23.6)","300 (0.1)","12 (0.0)","12654 (4.7)","12 (0.0)","323 (0.1)","44049 (16.5)","16 (0.0)","78 (0.0)","99 (0.0)","41 (0.0)"
"Number of risk groups","0","23218 (0.7)","101668 (2.9)","1895 (0.1)","88 (0.0)","10 (0.0)","225131 (6.5)","15133 (0.4)","374 (0.0)","2264 (0.1)","510771 (14.8)","16053 (0.5)","665 (0.0)","46848 (1.4)","600 (0.0)","1313 (0.0)","733 (0.0)","16 (0.0)","1 (0.0)","3006 (0.1)","1202 (0.0)","0 (0.0)","15669 (0.5)","39436 (1.1)","63603 (1.8)","82 (0.0)","3 (0.0)","26581 (0.8)","2484 (0.1)","141357 (4.1)","3 (0.0)","2061 (0.1)","8 (0.0)","365606 (10.6)","236055 (6.8)","4457 (0.1)","553 (0.0)","548609 (15.9)","7087 (0.2)","312 (0.0)","21945 (0.6)","271 (0.0)","776 (0.0)","1016182 (29.5)","284 (0.0)","2260 (0.1)","573 (0.0)","530 (0.0)"
NA,"1","8473 (0.6)","47901 (3.6)","2077 (0.2)","146 (0.0)","16 (0.0)","129429 (9.8)","19808 (1.5)","807 (0.1)","2982 (0.2)","345802 (26.2)","24938 (1.9)","1272 (0.1)","61491 (4.7)","1336 (0.1)","2751 (0.2)","374 (0.0)","19 (0.0)","0 (0.0)","1558 (0.1)","839 (0.1)","1 (0.0)","4000 (0.3)","9920 (0.8)","15097 (1.1)","68 (0.0)","3 (0.0)","7079 (0.5)","676 (0.1)","26188 (2.0)","0 (0.0)","458 (0.0)","9 (0.0)","84973 (6.4)","87582 (6.6)","5191 (0.4)","617 (0.0)","260462 (19.7)","9494 (0.7)","584 (0.0)","31509 (2.4)","528 (0.0)","1663 (0.1)","120256 (9.1)","68 (0.0)","1023 (0.1)","869 (0.1)","1079 (0.1)"
NA,"2","2865 (0.7)","15491 (3.5)","1001 (0.2)","126 (0.0)","19 (0.0)","38867 (8.9)","14251 (3.2)","520 (0.1)","2234 (0.5)","119950 (27.3)","19004 (4.3)","915 (0.2)","49094 (11.2)","1069 (0.2)","2271 (0.5)","116 (0.0)","21 (0.0)","1 (0.0)","496 (0.1)","357 (0.1)","3 (0.0)","581 (0.1)","1096 (0.2)","1468 (0.3)","14 (0.0)","1 (0.0)","746 (0.2)","67 (0.0)","3208 (0.7)","0 (0.0)","79 (0.0)","4 (0.0)","11371 (2.6)","20924 (4.8)","2988 (0.7)","379 (0.1)","74298 (16.9)","6418 (1.5)","398 (0.1)","24028 (5.5)","394 (0.1)","1300 (0.3)","18461 (4.2)","26 (0.0)","348 (0.1)","716 (0.2)","738 (0.2)"
NA,"3-4","1103 (0.5)","5938 (2.8)","397 (0.2)","95 (0.0)","11 (0.0)","14230 (6.7)","11480 (5.4)","352 (0.2)","1965 (0.9)","47284 (22.4)","14783 (7.0)","692 (0.3)","42224 (20.0)","801 (0.4)","1754 (0.8)","50 (0.0)","17 (0.0)","0 (0.0)","246 (0.1)","220 (0.1)","2 (0.0)","113 (0.1)","142 (0.1)","102 (0.0)","7 (0.0)","0 (0.0)","54 (0.0)","9 (0.0)","577 (0.3)","1 (0.0)","29 (0.0)","1 (0.0)","2173 (1.0)","6774 (3.2)","1783 (0.8)","222 (0.1)","25876 (12.3)","4043 (1.9)","258 (0.1)","18318 (8.7)","255 (0.1)","887 (0.4)","4481 (2.1)","22 (0.0)","182 (0.1)","557 (0.3)","541 (0.3)"
NA,"5+","108 (0.4)","788 (2.7)","48 (0.2)","16 (0.1)","0 (0.0)","1534 (5.2)","2121 (7.2)","56 (0.2)","365 (1.2)","5522 (18.7)","2380 (8.1)","104 (0.4)","8196 (27.7)","133 (0.5)","316 (1.1)","7 (0.0)","3 (0.0)","0 (0.0)","44 (0.1)","49 (0.2)","2 (0.0)","7 (0.0)","7 (0.0)","9 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","53 (0.2)","0 (0.0)","1 (0.0)","0 (0.0)","224 (0.8)","477 (1.6)","211 (0.7)","22 (0.1)","2306 (7.8)","545 (1.8)","29 (0.1)","2996 (10.1)","36 (0.1)","108 (0.4)","503 (1.7)","4 (0.0)","36 (0.1)","88 (0.3)","95 (0.3)"
"Average household age","Mean (SD)","48.0 (20.0)","45.2 (18.8)","49.2 (15.7)","66.5 (16.3)","53.7 (13.6)","45.6 (14.5)","72.4 (13.5)","56.9 (16.6)","71.6 (14.8)","48.5 (15.3)","73.1 (13.6)","58.3 (17.0)","74.5 (12.6)","58.4 (16.9)","60.2 (16.7)","41.0 (15.4)","75.9 (12.5)","72.2 (13.8)","42.0 (16.4)","49.2 (20.2)","64.0 (18.6)","30.9 (12.0)","30.2 (9.9)","31.5 (9.7)","37.2 (15.1)","43.4 (8.5)","31.6 (9.8)","29.9 (10.1)","26.8 (12.8)","37.2 (5.8)","31.1 (13.5)","54.5 (23.2)","29.2 (12.7)","39.5 (16.1)","66.5 (12.0)","63.7 (15.2)","41.1 (17.0)","68.3 (13.9)","54.9 (15.9)","72.2 (12.7)","54.7 (15.8)","56.3 (16.3)","23.5 (14.6)","54.9 (22.2)","40.5 (17.2)","65.0 (18.7)","57.4 (16.9)"
"Number of people in household","1","14641 (1.0)","59494 (3.9)","1723 (0.1)","191 (0.0)","18 (0.0)","124445 (8.1)","30151 (2.0)","731 (0.0)","4683 (0.3)","303418 (19.8)","36761 (2.4)","1293 (0.1)","101775 (6.7)","1373 (0.1)","2981 (0.2)","476 (0.0)","43 (0.0)","1 (0.0)","1968 (0.1)","1006 (0.1)","2 (0.0)","6706 (0.4)","12589 (0.8)","20395 (1.3)","49 (0.0)","2 (0.0)","8014 (0.5)","801 (0.1)","25851 (1.7)","0 (0.0)","870 (0.1)","5 (0.0)","75905 (5.0)","101853 (6.7)","5800 (0.4)","675 (0.0)","227082 (14.8)","11045 (0.7)","490 (0.0)","36283 (2.4)","461 (0.0)","1558 (0.1)","302463 (19.8)","148 (0.0)","1157 (0.1)","1220 (0.1)","1062 (0.1)"
NA,"2","9383 (0.6)","43469 (3.0)","1838 (0.1)","198 (0.0)","23 (0.0)","115498 (8.0)","24927 (1.7)","824 (0.1)","3707 (0.3)","337918 (23.3)","31216 (2.1)","1464 (0.1)","85503 (5.9)","1556 (0.1)","3503 (0.2)","299 (0.0)","25 (0.0)","1 (0.0)","1219 (0.1)","728 (0.1)","4 (0.0)","4424 (0.3)","10964 (0.8)","18406 (1.3)","50 (0.0)","3 (0.0)","7733 (0.5)","705 (0.0)","26192 (1.8)","1 (0.0)","533 (0.0)","10 (0.0)","79267 (5.5)","97946 (6.7)","6519 (0.4)","734 (0.1)","263307 (18.1)","11442 (0.8)","641 (0.0)","41241 (2.8)","583 (0.0)","1967 (0.1)","213115 (14.7)","135 (0.0)","937 (0.1)","1005 (0.1)","1138 (0.1)"
NA,"3-5","10343 (0.5)","60902 (2.8)","1744 (0.1)","74 (0.0)","15 (0.0)","157925 (7.2)","7232 (0.3)","534 (0.0)","1334 (0.1)","366758 (16.8)","8716 (0.4)","850 (0.0)","19184 (0.9)","964 (0.0)","1838 (0.1)","416 (0.0)","8 (0.0)","0 (0.0)","1874 (0.1)","849 (0.0)","0 (0.0)","7906 (0.4)","23660 (1.1)","38159 (1.7)","65 (0.0)","2 (0.0)","17468 (0.8)","1506 (0.1)","102114 (4.7)","3 (0.0)","1077 (0.0)","6 (0.0)","272751 (12.5)","140447 (6.4)","2185 (0.1)","320 (0.0)","391318 (17.9)","3765 (0.2)","427 (0.0)","10198 (0.5)","423 (0.0)","1159 (0.1)","529640 (24.2)","87 (0.0)","1585 (0.1)","494 (0.0)","756 (0.0)"
