"label","levels","0","1","2","3","4"
"Congenital heart disease","","2951 (0.7)","656 (0.7)","814 (1.5)","58 (4.6)","1 (2.4)"
"COPD","","49 (0.0)","10 (0.0)","15 (0.0)","2 (0.2)","1 (2.4)"
"Dementia","","4 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)"
"Diabetes Type 1","","1605 (0.4)","434 (0.4)","651 (1.2)","50 (3.9)","1 (2.4)"
"Diabetes Type 2","","5700 (1.3)","1978 (2.0)","1733 (3.1)","30 (2.4)","3 (7.3)"
"Epilepsy","","5 (0.0)","2 (0.0)","1 (0.0)","0 (0.0)","0 (0.0)"
"Hip, wrist, spine, humerus fracture","","110 (0.0)","24 (0.0)","46 (0.1)","9 (0.7)","1 (2.4)"
"HIV/AIDS","","8 (0.0)","1 (0.0)","5 (0.0)","1 (0.1)","0 (0.0)"
"Neurological conditions","","137 (0.0)","28 (0.0)","41 (0.1)","5 (0.4)","0 (0.0)"
"Parkinson’s","","211 (0.0)","64 (0.1)","97 (0.2)","9 (0.7)","0 (0.0)"
"Pulmonary hypertension","","9 (0.0)","4 (0.0)","0 (0.0)","0 (0.0)","1 (2.4)"
"Cystic fibrosis, bronchiectasis or alveolitis","","333 (0.1)","94 (0.1)","153 (0.3)","42 (3.3)","8 (19.5)"
"Peripheral vascular disease","","1 (0.0)","0 (0.0)","1 (0.0)","0 (0.0)","0 (0.0)"
"SLE or rheumatoid arthritis","","0 (0.0)","0 (0.0)","1 (0.0)","0 (0.0)","0 (0.0)"
"Lung, oral cancer","","50 (0.0)","8 (0.0)","10 (0.0)","0 (0.0)","0 (0.0)"
"Severe mental illness","","86 (0.0)","20 (0.0)","23 (0.0)","3 (0.2)","1 (2.4)"
"Sickle cell disease or combined immune deficiency syndrome","","37 (0.0)","3 (0.0)","7 (0.0)","0 (0.0)","0 (0.0)"
