"label","levels","0","1","2","3","4","5"
"","Learning disability","96 (0.1)","17 (0.2)","137 (0.4)","1315 (0.9)","2526 (0.6)","15 (0.3)"
"Chronic Kidney Disease","No CKD","103481 (98.5)","9609 (96.8)","30912 (92.9)","128025 (83.1)","322328 (79.0)","4372 (73.7)"
"","CKD 3","1527 (1.5)","322 (3.2)","2350 (7.1)","26090 (16.9)","85568 (21.0)","1562 (26.3)"
"","CKD 4","0 (0.0)","0 (0.0)","0 (0.0)","4 (0.0)","8 (0.0)","0 (0.0)"
"","CKD 5","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","1 (0.0)","1 (0.0)"
"Atrial Fibrillation","","1029 (1.0)","193 (1.9)","1672 (5.0)","17259 (11.2)","53482 (13.1)","814 (13.7)"
"Asthma","","822 (0.8)","157 (1.6)","1106 (3.3)","15639 (10.1)","41011 (10.1)","685 (11.5)"
"Blood cancer","","99 (0.1)","21 (0.2)","129 (0.4)","1301 (0.8)","4933 (1.2)","1271 (21.4)"
"Congestive Cardiac Failure","","437 (0.4)","94 (0.9)","726 (2.2)","7414 (4.8)","19341 (4.7)","272 (4.6)"
"Cerebral Palsy","","6 (0.0)","1 (0.0)","7 (0.0)","64 (0.0)","142 (0.0)","2 (0.0)"
"Coronary heart disease","","1480 (1.4)","267 (2.7)","2070 (6.2)","23995 (15.6)","69398 (17.0)","1013 (17.1)"
"Liver cirrhosis","","37 (0.0)","8 (0.1)","75 (0.2)","815 (0.5)","1688 (0.4)","93 (1.6)"
"Congenital heart disease","","20 (0.0)","3 (0.0)","29 (0.1)","455 (0.3)","1166 (0.3)","18 (0.3)"
"COPD","","830 (0.8)","184 (1.9)","1329 (4.0)","14214 (9.2)","31636 (7.8)","606 (10.2)"
"Dementia","","307 (0.3)","82 (0.8)","584 (1.8)","5145 (3.3)","14304 (3.5)","66 (1.1)"
"Diabetes Type 1","","154 (0.1)","29 (0.3)","219 (0.7)","2398 (1.6)","5676 (1.4)","81 (1.4)"
"Diabetes Type 2","","1011 (1.0)","227 (2.3)","1525 (4.6)","15624 (10.1)","45033 (11.0)","679 (11.4)"
