"label","levels","0","1","2","3","4","5"
"","Down's syndrome","60 (0.0)","29 (0.0)","131 (0.0)","1302 (0.0)","185 (0.3)","7 (0.1)"
"","Learning disability","7047 (1.2)","3072 (2.1)","8565 (1.5)","32527 (1.2)","1396 (1.9)","106 (0.9)"
"Chronic Kidney Disease","No CKD","581071 (99.8)","146394 (99.8)","573902 (99.6)","2649727 (98.5)","67280 (92.9)","10663 (86.6)"
"","CKD 3","1445 (0.2)","359 (0.2)","2160 (0.4)","39019 (1.5)","5125 (7.1)","1646 (13.4)"
"","CKD 4","0 (0.0)","0 (0.0)","0 (0.0)","5 (0.0)","0 (0.0)","2 (0.0)"
"","CKD 5","0 (0.0)","0 (0.0)","0 (0.0)","1 (0.0)","0 (0.0)","1 (0.0)"
"Atrial Fibrillation","","1442 (0.2)","290 (0.2)","1775 (0.3)","34109 (1.3)","2117 (2.9)","390 (3.2)"
"Asthma","","46561 (8.0)","16261 (11.1)","63820 (11.1)","317183 (11.8)","10554 (14.6)","1680 (13.6)"
"Blood cancer","","620 (0.1)","143 (0.1)","832 (0.1)","4307 (0.2)","5048 (7.0)","1599 (13.0)"
"Congestive Cardiac Failure","","791 (0.1)","215 (0.1)","1116 (0.2)","15278 (0.6)","1238 (1.7)","235 (1.9)"
"Cerebral Palsy","","369 (0.1)","139 (0.1)","599 (0.1)","4390 (0.2)","286 (0.4)","8 (0.1)"
"Coronary heart disease","","3945 (0.7)","999 (0.7)","5241 (0.9)","77902 (2.9)","4533 (6.3)","645 (5.2)"
"Liver cirrhosis","","472 (0.1)","177 (0.1)","683 (0.1)","5866 (0.2)","756 (1.0)","217 (1.8)"
"Congenital heart disease","","1569 (0.3)","594 (0.4)","2647 (0.5)","13871 (0.5)","488 (0.7)","70 (0.6)"
"COPD","","3644 (0.6)","1275 (0.9)","5818 (1.0)","54927 (2.0)","4136 (5.7)","517 (4.2)"
"Dementia","","79 (0.0)","21 (0.0)","122 (0.0)","1927 (0.1)","750 (1.0)","10 (0.1)"
"Diabetes Type 1","","5266 (0.9)","1930 (1.3)","6708 (1.2)","41943 (1.6)","2235 (3.1)","214 (1.7)"
"Diabetes Type 2","","15253 (2.6)","5633 (3.8)","20979 (3.6)","103255 (3.8)","4326 (6.0)","664 (5.4)"
"Epilepsy","","404 (0.1)","92 (0.1)","419 (0.1)","1634 (0.1)","1263 (1.7)","26 (0.2)"
"Hip, wrist, spine, humerus fracture","","107 (0.0)","27 (0.0)","125 (0.0)","536 (0.0)","610 (0.8)","89 (0.7)"
"HIV/AIDS","","726 (0.1)","187 (0.1)","920 (0.2)","12023 (0.4)","1918 (2.6)","225 (1.8)"
"Severe combine immunodeficiency","","117 (0.0)","24 (0.0)","127 (0.0)","3056 (0.1)","288 (0.4)","22 (0.2)"
"Neurological conditions","","120 (0.0)","35 (0.0)","173 (0.0)","1872 (0.1)","357 (0.5)","83 (0.7)"
"Parkinson’s","","505 (0.1)","171 (0.1)","764 (0.1)","9806 (0.4)","1288 (1.8)","265 (2.2)"
"Pulmonary hypertension","","337 (0.1)","97 (0.1)","438 (0.1)","4740 (0.2)","365 (0.5)","56 (0.5)"
"Cystic fibrosis, bronchiectasis or alveolitis","","3697 (0.6)","895 (0.6)","4778 (0.8)","37681 (1.4)","17191 (23.7)","3438 (27.9)"
"Peripheral vascular disease","","125 (0.0)","31 (0.0)","222 (0.0)","2325 (0.1)","495 (0.7)","98 (0.8)"
"SLE or rheumatoid arthritis","","2138 (0.4)","590 (0.4)","1932 (0.3)","11646 (0.4)","658 (0.9)","42 (0.3)"
"Lung, oral cancer","","48 (0.0)","10 (0.0)","35 (0.0)","122 (0.0)","10 (0.0)","0 (0.0)"
"Severe mental illness","","2226 (0.4)","670 (0.5)","3317 (0.6)","42479 (1.6)","3097 (4.3)","388 (3.2)"
"Sickle cell disease or combined immune deficiency syndrome","","1908 (0.3)","616 (0.4)","2125 (0.4)","19075 (0.7)","1910 (2.6)","405 (3.3)"
"Stroke, transient ischaemic attack","","1513 (0.3)","341 (0.2)","1796 (0.3)","16302 (0.6)","814 (1.1)","157 (1.3)"
"Venous thromboembolism","","8489 (1.5)","2109 (1.4)","10610 (1.8)","136007 (5.1)","7204 (9.9)","1198 (9.7)"
