"Variable","Levels","Person years (thousands)","Persons","Number of events","Hazard rate"
"Sex","F",718.176889878165,2333090,769,"Ref"
"","M",721.240364208076,2277308,678,"0.99 (0.89, 1.11)"
"Age group","16-17",39.7204900752909,127455,8,"Ref"
"","18-24",138.245065023956,442712,46,"1.4 (0.66, 3)"
"","25-29",132.67715537577,413197,49,"1.08 (0.51, 2.31)"
"","30-34",142.001672832307,442585,59,"1.05 (0.49, 2.22)"
"","35-39",137.776542097194,430586,57,"1.08 (0.51, 2.29)"
"","40-44",131.299512670773,411966,56,"0.88 (0.41, 1.87)"
"","45-49",115.779389470226,365341,48,"0.72 (0.34, 1.54)"
"","50-54",128.547006176591,409823,105,"1.13 (0.54, 2.37)"
"","55-59",137.116328561259,440222,152,"1.18 (0.57, 2.43)"
"","60-64",130.09022040794,416868,206,"1.48 (0.72, 3.06)"
"","65-69",111.707063687885,375047,293,"1.84 (0.89, 3.79)"
"","70-74",94.4568077070499,334596,368,"2.13 (1.03, 4.38)"
"Urban rural classification","Large Urban Areas",537.143414146475,1711844,495,"Ref"
"","Other Urban Areas",503.283950770705,1615039,584,"1.01 (0.89, 1.14)"
"","Accessible Small Towns",128.018699531828,412570,128,"1.14 (0.94, 1.4)"
"","Remote Small Towns",64.5575715400411,208964,63,"1.39 (1.06, 1.83)"
"","Accessible Rural",124.921374412047,400296,115,"1.26 (1.02, 1.55)"
"","Remote Rural",67.0668446433949,216555,54,"1.39 (1.04, 1.87)"
"Socioeconomic status","1",293.533267676934,928603,450,"Ref"
"","2",282.409566080767,902678,352,"1 (0.87, 1.15)"
"","3",279.192788536619,895378,262,"0.9 (0.76, 1.06)"
"","4",281.908216312115,906974,220,"0.92 (0.78, 1.09)"
"","5",287.948016438056,931635,155,"0.92 (0.76, 1.11)"
"Number of risk groups","0",935.687230699521,2965353,326,"Ref"
"","1",370.556689993155,1200914,470,"1.19 (1.03, 1.38)"
"","2",99.8306447967146,330382,359,"1.12 (0.95, 1.32)"
"","3-4",31.0634798329911,105746,237,"1.04 (0.86, 1.26)"
"","5+",2.27920876386037,8003,55,"1.1 (0.8, 1.49)"
"Last positive test",NA,1077.92231633949,3441301,1423,NA
"","0-13_weeks",62.6286790034223,205290,15,"0.01 (0, 0.01)"
"","14-26_weeks",142.69507734976,462253,3,"0 (0, 0)"
"","27+_weeks",156.171181393566,501554,6,"0 (0, 0)"
"Ever shielding","0",1403.05845324846,4483073,1146,"Ref"
"","1",36.3588008377823,127325,301,NA
"Number of tests in last 6 months","0",918.968027397673,2909297,12,"Ref"
"","1",332.575159518138,1071582,503,"72.38 (40.68, 128.77)"
"","2",107.241122543463,348953,311,"78.71 (43.96, 140.91)"
"","3",33.1562436741958,109443,170,"82.69 (45.73, 149.5)"
"","4-9",27.6773799288159,95400,336,"80.85 (45.1, 144.94)"
"","10+",19.7993210239562,75723,115,"54.12 (29.62, 98.86)"
"Previous COVID-19 hospitalisation","0",1433.56710757563,4589963,146,"Ref"
"","1",5.85014651060917,20435,1301,NA
"Number of doses","0",288.239644098563,872139,180,"Ref"
"","1",44.793760440794,145337,57,"1.04 (0.76, 1.4)"
"","2",181.426439446954,580047,164,"0.74 (0.6, 0.92)"
"","3",887.812295775495,2726628,894,"0.7 (0.59, 0.83)"
"","4",30.6516440903491,256833,114,"0.7 (0.54, 0.91)"
"","5",6.49347023408624,29414,38,"0.67 (0.46, 0.99)"
