"SexM","age_gp_218-24","age_gp_225-29","age_gp_230-34","age_gp_235-39","age_gp_240-44","age_gp_245-49","age_gp_250-54","age_gp_255-59","age_gp_260-64","age_gp_265-69","age_gp_270-74","ur6_2016_nameOther Urban Areas","ur6_2016_nameAccessible Small Towns","ur6_2016_nameRemote Small Towns","ur6_2016_nameAccessible Rural","ur6_2016_nameRemote Rural","simd2020_sc_quintile2","simd2020_sc_quintile3","simd2020_sc_quintile4","simd2020_sc_quintile5","n_risk_gps1","n_risk_gps2","n_risk_gps3-4","n_risk_gps5+","last_positive_test_group0-13_weeks","last_positive_test_group14-26_weeks","last_positive_test_group27+_weeks","shielding","num_tests_6m_group1","num_tests_6m_group2","num_tests_6m_group3","num_tests_6m_group4-9","num_tests_6m_group10+","covid_hosp_ever","num_doses_time1","num_doses_time2","num_doses_time3","num_doses_time4","num_doses_time5"
0.00355099705659034,-0.000234756432161006,-0.000146438268239391,-0.000230844973236957,-9.44567448584859e-05,-0.000241872150852197,-0.00027784970966186,-0.00037631903396841,-0.000394229581154572,-0.000951082439157402,-0.000551226912422151,-0.000894266523885951,0.000116077942077076,0.000565591659712932,0.000556139994478976,0.000240331346347738,0.000464929104603458,-9.83339320312604e-05,-0.00043801965973295,-0.000236066388221964,-0.000376174381510426,-0.000119816114976947,-1.40511512103494e-05,7.22463992375978e-06,0.000130235170597963,5.82603462363882e-05,-3.69590718470349e-05,-6.64417807571683e-05,0.000186374954630625,0.000145788400018099,0.000122262498536192,5.33709839470582e-05,0.00013780254907657,0.000245493085851355,7.74138203312812e-05,0.000443002205632985,0.000193751024267505,0.000338570260975359,6.69475847121141e-05,0.000149650052320917
-0.000234756432161006,0.15523191332034,0.129762103328899,0.129767189604417,0.12918380882768,0.129659911460561,0.129830251101057,0.130016754980696,0.129553206471664,0.129972916623039,0.129967603527758,0.130166450311317,0.000266788545375561,0.00126954744110243,0.00194797663670551,0.00153186071838644,0.000135476397790121,7.79801246800188e-05,-0.000315873750216087,0.000908705322453387,0.00160171146477312,0.000106525397918706,-0.000495949995296848,0.000541419775496974,-0.000105768315394706,0.000234112490100999,-0.000370830589124706,-0.000202664191346092,-0.000162473071039337,-0.00040074968933883,-0.000708420496394793,-0.00135272171245045,-0.000921288630054789,0.000533076984904693,-9.50698351042953e-05,0.00916248253295999,0.000999271987986387,0.000168800889419519,0.000728515578497781,0.00079572473997375
-0.000146438268239391,0.129762103328899,0.153774707815288,0.130438528398883,0.130013357532989,0.130415287444863,0.130633089480968,0.130991464264271,0.130493643623287,0.130913323572824,0.130892578087447,0.131093191845636,-3.5824945997378e-05,0.00143870751823121,0.0014836445312634,0.00130738629628392,0.00153638107612691,0.000282907633773438,-0.000318019862830052,0.00145154143654643,0.00189586821372153,-0.000856181740915089,-0.000723107956717289,0.000127038799594312,-0.000458558283023757,0.000316555484908217,-7.99943732568931e-05,-0.0002174078105139,-0.0002287891695899,-0.000377325289800505,-0.00116322883049679,-0.0016152033674911,-0.000681176370243127,0.000804834611320912,-0.000818194898259199,0.00936052455396667,0.00172203121024006,0.000143119635996807,0.000302774769953175,0.000772073063831466
-0.000230844973236957,0.129767189604417,0.130438528398883,0.152093262189654,0.130206470441112,0.1307789873371,0.130826240182384,0.13136816296039,0.130804556013377,0.131283908075879,0.1314223730203,0.131568791379008,0.000155836257598039,0.00135485576617958,0.000708193685429727,0.0015968888475808,0.00199408305076416,0.000577318102618656,9.20911660281261e-05,0.0020946767112898,0.00218953553910621,-0.0006885146946683,-0.000939005236587352,-2.42675452612546e-05,-0.000384938355000436,3.75263274368399e-05,-0.000509133629672343,-0.000296893831323873,1.34530654322552e-05,-0.000253061700372927,-0.000910193381603576,-0.00100302300588923,-0.000923855580627787,0.000679885279582127,-0.000879775123274335,0.00849658952866673,7.03361120130757e-05,-0.00122238279083154,-0.00107229783560873,-0.000541569774421722
-9.44567448584859e-05,0.12918380882768,0.130013357532989,0.130206470441112,0.151892411285443,0.130532195709539,0.130597678960318,0.131102961333685,0.130709900889236,0.131090821808441,0.131196244206043,0.131348694233968,0.000105351559961946,0.00148044581074194,0.00145309305455181,0.00101159296134158,0.00210653106226134,-5.72578896069971e-05,-0.00021427927705343,0.00117023077042798,0.00179900913496093,-0.00165145575235044,-0.00130628601464882,-0.000753484327808169,-0.00100184893416195,-0.000223628275342595,-0.000600267336194257,-0.000722215360847959,-6.16696104179953e-05,-0.000131644979583345,-0.00120648198664417,-0.000963303519066531,-0.000247502755005017,0.000957078564554032,-0.000794610289554876,0.00726201296589805,-0.000280969407008937,-0.00151130898093416,-0.00128283865852367,-0.00161004575310694
-0.000241872150852197,0.129659911460561,0.130415287444863,0.1307789873371,0.130532195709539,0.152070689469739,0.131085778593395,0.131674349684523,0.131227871402205,0.131637897149897,0.13180950216368,0.131902452462076,1.92740227126644e-06,0.00119411328089159,0.00148939458926719,0.00118880272770673,0.00145328972281514,-0.000265318366417623,-0.000282363729602467,0.00153827672241723,0.00193051259438178,-0.000987183259284969,-0.000666289334946568,0.000162553356716154,-0.000206830485311566,0.000143885823273354,-0.000581306352428909,-0.000526807858083519,-0.000198752428676879,-1.70715716988693e-06,-0.00119313038487018,-0.000684008799181321,-0.000597508534955573,0.00110906122213176,-0.0014657906949224,0.0075713018632794,-0.000999827688038067,-0.00230736064163309,-0.00194235872338204,-0.00172988910117772
-0.00027784970966186,0.129830251101057,0.130633089480968,0.130826240182384,0.130597678960318,0.131085778593395,0.154824929870689,0.131944755849737,0.131496826421773,0.132036384780687,0.132170687555093,0.132482023922948,0.000227026192435898,0.000869467538362037,0.00151622174649752,0.00120845791009776,0.0017853279308314,-0.000296807900410018,-0.000253471171842793,0.00101645104298713,0.00178717001878735,-0.00156985806103471,-0.00202623124634524,-0.00077245731136254,-0.00130882108791839,0.000358515304340483,-0.000291583434969157,-0.000404919449322658,-0.000575116872757428,-0.000322920948984835,-0.000724453005123229,-0.00112100972129476,-0.000367243183128247,0.00112852417111907,-0.00158956251807834,0.0087538733865502,0.000784307715231264,-0.00127132362968312,-0.000761407964311166,-0.0012174580372553
-0.00037631903396841,0.130016754980696,0.130991464264271,0.13136816296039,0.131102961333685,0.131674349684523,0.131944755849737,0.144671761376781,0.132231891962062,0.132800278367273,0.133089629008827,0.133308106067102,0.000181641909637358,0.00156419434512971,0.00140879306261615,0.00142648413455468,0.00139492907474775,0.000417712801664105,-8.43610913697417e-05,0.00146937716125545,0.00197333019212619,-0.00187866037843039,-0.00170559974524277,-0.00138084693417991,-0.00133929456157991,0.000458951920132176,-0.000311377259989555,-0.000244176343327872,5.364421274897e-05,-2.67305099616535e-06,-0.0006272960809012,-0.0006532531734678,-0.000486214626328678,0.00087255316248161,-0.0018069005279188,0.00840062582644741,0.000320843218836403,-0.00248795394517783,-0.00267156759491006,-0.00277201023899359
-0.000394229581154572,0.129553206471664,0.130493643623287,0.130804556013377,0.130709900889236,0.131227871402205,0.131496826421773,0.132231891962062,0.140240452026739,0.132355227569509,0.132549156201038,0.132816310732752,0.000407151741818937,0.00129860741628137,0.00148663480793174,0.00151007917357583,0.00147377475414862,-0.000102484500008485,-0.000457764700498766,0.00116473940996347,0.00140981675236929,-0.00184691074229761,-0.00179724586146894,-0.00144005660813565,-0.0014248933691644,0.000528989106935152,-2.60856844937214e-05,-0.000241812628387091,-0.000350053303631938,7.09584515068926e-05,-0.000921892285191652,-0.000889767746926341,-7.65622266511517e-06,0.000830430437339693,-0.00205263075059336,0.00738759683207829,-0.000163765073629741,-0.00234267504306535,-0.00210946386978191,-0.00257041992469919
-0.000951082439157402,0.129972916623039,0.130913323572824,0.131283908075879,0.131090821808441,0.131637897149897,0.132036384780687,0.132800278367273,0.132355227569509,0.139064170493169,0.133235153245296,0.133664685685556,0.000250340390949947,0.00119243484326516,0.0012565021387933,0.00145466951390623,0.00129358731783216,0.000267907697451809,-3.38551795265688e-05,0.00135026644696471,0.00162977474503363,-0.00197164614586765,-0.00224473980401684,-0.00169644335352746,-0.00278222485852778,0.000528483917347765,-4.19005311190473e-06,-0.000267144530202651,-0.000668005991067088,8.21990668425668e-05,-0.000725497706494085,-0.000814817410318597,8.62531904549986e-05,0.000842006747325246,-0.00206528014410619,0.00822543319520384,-0.000178745966888443,-0.00241165083646698,-0.0019898915304679,-0.00184085776714086
