"variable","coef"
"SexM",-0.00520260601444241
"age_gp_218-24",0.337251814085516
"age_gp_225-29",0.0788255077111214
"age_gp_230-34",0.0446614991868678
"age_gp_235-39",0.0776441801948336
"age_gp_240-44",-0.130574600590962
"age_gp_245-49",-0.33050737037118
"age_gp_250-54",0.126150634147189
"age_gp_255-59",0.161986871598281
"age_gp_260-64",0.394373860372409
"age_gp_265-69",0.609460926019164
"age_gp_270-74",0.755432584001889
"ur6_2016_nameOther Urban Areas",0.00973301365673112
"ur6_2016_nameAccessible Small Towns",0.134183733324729
"ur6_2016_nameRemote Small Towns",0.332169194395003
"ur6_2016_nameAccessible Rural",0.231495314300586
"ur6_2016_nameRemote Rural",0.331130529886722
"simd2020_sc_quintile2",-0.000891284243365009
"simd2020_sc_quintile3",-0.107379843099318
"simd2020_sc_quintile4",-0.0815712150160686
"simd2020_sc_quintile5",-0.0810536528021997
"n_risk_gps1",0.176687215853279
"n_risk_gps2",0.110390149029293
"n_risk_gps3-4",0.0401012130980771
"n_risk_gps5+",0.0914119347449227
"last_positive_test_group0-13_weeks",-5.02079434318307
"last_positive_test_group14-26_weeks",-6.9802801725832
"last_positive_test_group27+_weeks",-6.79338438070889
"shielding",-0.097222937314944
"num_tests_6m_group1",4.28192440148724
"num_tests_6m_group2",4.36573914316914
"num_tests_6m_group3",4.41508355296632
"num_tests_6m_group4-9",4.39259441471571
"num_tests_6m_group10+",3.99112045489603
"covid_hosp_ever",8.71685719482108
"num_doses_time1",0.0345987199613138
"num_doses_time2",-0.298291355925793
"num_doses_time3",-0.35516497813859
"num_doses_time4",-0.351871390759084
"num_doses_time5",-0.39505051504253
