"Variable","Levels","Odds ratio"
"Sex","F","Ref"
"","M","0.72 (0.71, 0.72)"
"Age group","50-54","158.44 (151.93, 165.23)"
"","45-49","106.88 (102.49, 111.45)"
"","65-69","311.9 (298.91, 325.46)"
"","25-29","43.8 (42, 45.67)"
"","55-59","220.08 (211.02, 229.54)"
"","18-24","39.75 (38.12, 41.45)"
"","40-44","80 (76.73, 83.42)"
"","60-64","277.88 (266.39, 289.88)"
"","30-34","46.59 (44.69, 48.58)"
"","70-74","311.49 (298.42, 325.12)"
"","35-39","59.78 (57.33, 62.33)"
"","16-17","Ref"
"Urban rural classification","Remote Rural","1.37 (1.36, 1.39)"
"","Other Urban Areas","1.51 (1.5, 1.51)"
"","Accessible Rural","1.46 (1.45, 1.47)"
"","Large Urban Areas","Ref"
"","Accessible Small Towns","1.47 (1.45, 1.48)"
"","Remote Small Towns","1.46 (1.44, 1.48)"
"Socioeconomic status","3","1.66 (1.64, 1.67)"
"","2","1.36 (1.35, 1.37)"
"","1","Ref"
"","4","2.15 (2.13, 2.16)"
"","5","2.46 (2.45, 2.48)"
"Number of risk groups","0","Ref"
"","1","1.93 (1.92, 1.94)"
"","2","2.36 (2.33, 2.38)"
"","3-4","2.63 (2.58, 2.69)"
"","5+","2.46 (2.28, 2.65)"
