"(Intercept)","SexM","age_gp_218-24","age_gp_225-29","age_gp_230-34","age_gp_235-39","age_gp_240-44","age_gp_245-49","age_gp_250-54","age_gp_255-59","age_gp_260-64","age_gp_265-69","age_gp_270-74","ur6_2016_nameOther Urban Areas","ur6_2016_nameAccessible Small Towns","ur6_2016_nameRemote Small Towns","ur6_2016_nameAccessible Rural","ur6_2016_nameRemote Rural","simd2020_sc_quintile2","simd2020_sc_quintile3","simd2020_sc_quintile4","simd2020_sc_quintile5","n_risk_gps1","n_risk_gps2","n_risk_gps3-4","n_risk_gps5+"
0.000453063248757516,-2.17584271654366e-06,-0.000444151324486849,-0.000444672764293106,-0.000444724337628192,-0.000444726204021209,-0.000444598313233517,-0.000444475271004418,-0.000444421816551945,-0.000444431191230092,-0.000444383306920326,-0.000444248290980241,-0.000443984728770775,-3.85990963185455e-06,-3.09009274847528e-06,-3.16475796894932e-06,-3.09229528865854e-06,-2.57780875383377e-06,-5.55059209736841e-06,-5.73654924825907e-06,-6.34997649945343e-06,-7.28379410286149e-06,-2.12362116486818e-06,-1.7609606950799e-06,-1.93560144632184e-06,-2.49914891401419e-06
-2.17584271654366e-06,5.1050007812046e-06,-2.94106064560789e-07,-1.81022437494785e-07,-2.93585785195023e-07,-4.18355917927593e-07,-5.23946544390037e-07,-5.98650722883331e-07,-6.27436802445538e-07,-6.30843207489903e-07,-6.15165352349684e-07,-5.98752368223776e-07,-5.66549020991961e-07,-6.06666793345674e-08,-5.05275330594468e-08,-9.30628027915292e-08,-5.80496304034586e-08,-9.0089428723679e-08,-2.70385378490727e-09,-1.10490298266072e-08,-2.91896203310879e-08,-4.4125300670194e-08,8.09989835243839e-08,1.03740126310599e-07,-3.72315640393692e-08,-2.87852772113209e-08
-0.000444151324486849,-2.94106064560789e-07,0.000454101529883518,0.000443560343338045,0.000443580376487534,0.000443587885288567,0.000443578185732571,0.00044356607748554,0.000443559766441121,0.000443559392447832,0.00044355077614245,0.000443531533542064,0.000443496817464452,5.21639085897443e-07,4.75680888660573e-07,4.97778140438687e-07,5.95112445467533e-07,4.62549255363091e-07,1.28168324203304e-07,2.49320121935801e-07,6.43126283303818e-07,7.81681301189846e-07,4.0797372342054e-07,2.06200485952771e-07,2.56875355909006e-07,3.53532434974407e-07
-0.000444672764293106,-1.81022437494785e-07,0.000443560343338045,0.000454674801417414,0.000443764934451328,0.000443755988918786,0.000443724133431983,0.000443695172820118,0.000443674475526766,0.000443675830495186,0.000443678290763647,0.000443663431701746,0.000443619747867684,1.25847729285077e-06,1.19390899476931e-06,1.29566379848785e-06,1.40534773164845e-06,1.37006430562075e-06,-2.14917313888963e-08,1.38613198875816e-09,5.93244511375428e-07,7.69562499829868e-07,3.19987134720805e-07,-2.81360866752053e-08,1.17609353561891e-07,3.11323913849112e-07
-0.000444724337628192,-2.93585785195023e-07,0.000443580376487534,0.000443764934451328,0.000453933461585336,0.000443808288527673,0.000443778584373905,0.000443751223604522,0.00044373806927014,0.000443748666470678,0.000443758225817423,0.000443749336419558,0.000443708770920238,1.27758862053414e-06,1.38944467292065e-06,1.30820586915282e-06,1.38843302654799e-06,1.37219947858153e-06,-4.23727640006365e-08,1.06623592598596e-07,6.45394100197886e-07,1.06546678934082e-06,1.66762957245836e-07,-2.34792205183603e-07,-1.92601497657858e-08,2.87348083719427e-07
-0.000444726204021209,-4.18355917927593e-07,0.000443587885288567,0.000443755988918786,0.000443808288527673,0.000454168686921039,0.000443793919543694,0.000443770868000947,0.000443764165427737,0.000443779105259383,0.000443789740009256,0.000443782095483495,0.000443742705037875,1.18310000930478e-06,1.29491945680441e-06,1.23782053155211e-06,1.26063537956931e-06,1.2843851865544e-06,7.06625471969481e-08,2.8788663031619e-07,7.70952533114707e-07,1.2712123411724e-06,1.3193807743943e-07,-2.87878373775501e-07,-8.14377301691568e-08,2.55055382913071e-07
-0.000444598313233517,-5.23946544390037e-07,0.000443578185732571,0.000443724133431983,0.000443778584373905,0.000443793919543694,0.00045498133767327,0.000443760477036077,0.000443759738585185,0.000443778063148482,0.000443791251241825,0.000443788455991071,0.000443757094137656,1.03965499239091e-06,1.13362924686867e-06,1.12544313254459e-06,1.11160348122927e-06,1.11699210925366e-06,1.336717133382e-07,3.63626849354856e-07,8.21075165363588e-07,1.27490213348347e-06,1.11540033070554e-07,-3.86377343819056e-07,-2.42586417112236e-07,1.85334705860813e-07
-0.000444475271004418,-5.98650722883331e-07,0.00044356607748554,0.000443695172820118,0.000443751223604522,0.000443770868000947,0.000443760477036077,0.000457481844094125,0.000443756240501207,0.00044378040102264,0.000443800153768526,0.00044380700761323,0.000443789198523945,9.40084647011873e-07,9.9505883250086e-07,9.59229797338533e-07,9.84329439899611e-07,9.27661067531205e-07,1.87004383471487e-07,4.02560212523104e-07,8.70745483993498e-07,1.24072658971067e-06,6.00534581315737e-08,-5.72199968737964e-07,-5.244510711682e-07,-3.88772061675867e-08
-0.000444421816551945,-6.27436802445538e-07,0.000443559766441121,0.000443674475526766,0.00044373806927014,0.000443764165427737,0.000443759738585185,0.000443756240501207,0.000458432485279696,0.000443810857385215,0.000443843494063513,0.00044386710404955,0.000443870947780343,8.41149207021805e-07,8.35178288997632e-07,7.99692937229679e-07,8.43485332485211e-07,7.42476504448922e-07,2.39238718309523e-07,4.71478716656617e-07,9.91389362288503e-07,1.36238382171675e-06,-3.61614832809098e-08,-8.82928708829121e-07,-1.06713361963043e-06,-5.13048289180462e-07
-0.000444431191230092,-6.30843207489903e-07,0.000443559392447832,0.000443675830495186,0.000443748666470678,0.000443779105259383,0.000443778063148482,0.00044378040102264,0.000443810857385215,0.000460561093886153,0.000443916532601709,0.000443965294002317,0.00044400013190359,8.51746100544835e-07,7.97058784340219e-07,7.33776560915573e-07,7.98707033243844e-07,6.42842496802708e-07,2.77455251120058e-07,5.03740405591059e-07,1.08364692771829e-06,1.47754742933656e-06,-1.70938759586511e-07,-1.30463756209098e-06,-1.92125836020573e-06,-1.57495843832072e-06
