"variable","coef"
"(Intercept)",-5.39643127581464
"SexM",-0.022970706361369
"age_gp_212-15",3.48768863669484
"ur6_2016_nameOther Urban Areas",0.1817442618371
"ur6_2016_nameAccessible Small Towns",0.160789584049231
"ur6_2016_nameRemote Small Towns",0.173457659631813
"ur6_2016_nameAccessible Rural",0.129999431760852
"ur6_2016_nameRemote Rural",0.136822689160992
"simd2020_sc_quintile2",0.253406844284259
"simd2020_sc_quintile3",0.460365879203189
"simd2020_sc_quintile4",0.641893381688008
"simd2020_sc_quintile5",0.851653025015806
"n_risk_gps1",0.554154894493218
"n_risk_gps2",1.06958595394851
"n_risk_gps3-4",2.18405027039225
"n_risk_gps5+",-3.94904813774146
