"(Intercept)","SexM","age_gp_212-15","ur6_2016_nameOther Urban Areas","ur6_2016_nameAccessible Small Towns","ur6_2016_nameRemote Small Towns","ur6_2016_nameAccessible Rural","ur6_2016_nameRemote Rural","simd2020_sc_quintile2","simd2020_sc_quintile3","simd2020_sc_quintile4","simd2020_sc_quintile5","n_risk_gps1","n_risk_gps2","n_risk_gps3-4","n_risk_gps5+"
0.000496161144222854,-4.60771527179447e-05,-0.000317313395854184,-6.92673087055047e-05,-5.3808151204557e-05,-5.84087867566364e-05,-5.30748470153875e-05,-4.86839185457049e-05,-0.000127441283326535,-0.00012452387544206,-0.000128922332139128,-0.000141510437694099,-1.91997679585972e-05,-2.38624514512336e-05,-8.02148230984624e-05,-0.000267353508159337
-4.60771527179447e-05,9.1972837665144e-05,3.25754301606069e-07,1.30933044915132e-07,2.52476549760338e-07,-5.40247355378735e-07,-4.2509092422403e-07,-2.93917046061812e-08,-2.13498213783134e-07,-4.08751010659781e-07,-5.50457048744126e-07,-6.36900921295705e-07,-4.83563977720425e-06,-7.53265883683113e-06,-7.73351999107047e-06,-4.55977044483288e-05
-0.000317313395854184,3.25754301606069e-07,0.00034054645681766,1.84788608246597e-07,-3.81247113341476e-07,-1.21000990144681e-06,-5.92643191909007e-07,-1.75188285951316e-06,1.36030775244423e-06,2.84797560147888e-06,4.92930751907602e-06,5.27686782387508e-06,-1.068203008223e-05,-1.21117114633155e-05,2.74240141950253e-05,0.000312439581144934
-6.92673087055047e-05,1.30933044915132e-07,1.84788608246597e-07,0.000138662811158749,8.01000807691397e-05,8.51737749975848e-05,8.10571526795398e-05,8.58005137300859e-05,-1.66388937191285e-05,-2.1185704292796e-05,-1.75058802254069e-05,2.56599056181865e-06,-2.26906668454853e-06,-1.58543217235338e-06,-2.77516166027045e-06,6.54217511701597e-06
-5.3808151204557e-05,2.52476549760338e-07,-3.81247113341476e-07,8.01000807691397e-05,0.000301871110928439,8.6331864325271e-05,8.55048153560447e-05,9.04364725958117e-05,-2.36849273017447e-05,-3.74206919747313e-05,-4.25577924875474e-05,-2.28985001231978e-05,-2.69179347154556e-06,-5.83525987082728e-06,2.2407834263891e-06,-0.00020575764378569
-5.84087867566364e-05,-5.40247355378735e-07,-1.21000990144681e-06,8.51737749975848e-05,8.6331864325271e-05,0.000566329023147544,8.92601421523054e-05,0.000102553530564816,-2.45741747979984e-05,-6.42837125989853e-05,-3.832872522304e-05,1.86002120837525e-06,-2.9356163683386e-06,-1.28356610444273e-06,-1.83783693536247e-05,1.09458950100742e-05
-5.30748470153875e-05,-4.2509092422403e-07,-5.92643191909007e-07,8.10571526795398e-05,8.55048153560447e-05,8.92601421523054e-05,0.000315603235539201,9.40570928978076e-05,-2.19905686083708e-05,-4.37655658566866e-05,-4.76936942721104e-05,-2.10167507695106e-05,-6.29381297924273e-07,4.12909719652397e-07,-1.90941156115793e-06,1.56888168558574e-05
-4.86839185457049e-05,-2.93917046061812e-08,-1.75188285951316e-06,8.58005137300859e-05,9.04364725958117e-05,0.000102553530564816,9.40570928978076e-05,0.00055578316241007,-2.41576087438021e-05,-7.44638297394209e-05,-6.35244691949084e-05,-1.21491004153438e-05,-4.12302153263282e-06,-6.19721847248545e-06,-1.17986613576558e-05,2.18013068495893e-05
-0.000127441283326535,-2.13498213783134e-07,1.36030775244423e-06,-1.66388937191285e-05,-2.36849273017447e-05,-2.45741747979984e-05,-2.19905686083708e-05,-2.41576087438021e-05,0.000268010669913455,0.000142630756019674,0.000142127233377312,0.000137597609058978,2.80222036694228e-06,7.54444024136021e-06,3.08371274236091e-05,9.21247546447211e-06
-0.00012452387544206,-4.08751010659781e-07,2.84797560147888e-06,-2.1185704292796e-05,-3.74206919747313e-05,-6.42837125989853e-05,-4.37655658566866e-05,-7.44638297394209e-05,0.000142630756019674,0.00027781414976406,0.000151121693741064,0.00014026353106058,6.09175875699834e-06,1.22548351253849e-05,4.08858435230627e-05,1.12316246862965e-05
-0.000128922332139128,-5.50457048744126e-07,4.92930751907602e-06,-1.75058802254069e-05,-4.25577924875474e-05,-3.832872522304e-05,-4.76936942721104e-05,-6.35244691949084e-05,0.000142127233377312,0.000151121693741064,0.000253215964166473,0.000141801677182127,8.70665089210928e-06,1.88337896954594e-05,4.38587715828245e-05,-8.11853824913098e-05
-0.000141510437694099,-6.36900921295705e-07,5.27686782387508e-06,2.56599056181865e-06,-2.28985001231978e-05,1.86002120837525e-06,-2.10167507695106e-05,-1.21491004153438e-05,0.000137597609058978,0.00014026353106058,0.000141801677182127,0.000234349575992819,1.01840774761351e-05,2.23150001850619e-05,4.58740527702569e-05,2.324416155644e-05
-1.91997679585972e-05,-4.83563977720425e-06,-1.068203008223e-05,-2.26906668454853e-06,-2.69179347154556e-06,-2.9356163683386e-06,-6.29381297924273e-07,-4.12302153263282e-06,2.80222036694228e-06,6.09175875699834e-06,8.70665089210928e-06,1.01840774761351e-05,0.000195502827843483,2.90258874219412e-05,2.88606713537731e-05,1.80205503150813e-05
-2.38624514512336e-05,-7.53265883683113e-06,-1.21117114633155e-05,-1.58543217235338e-06,-5.83525987082728e-06,-1.28356610444273e-06,4.12909719652397e-07,-6.19721847248545e-06,7.54444024136021e-06,1.22548351253849e-05,1.88337896954594e-05,2.23150001850619e-05,2.90258874219412e-05,0.00243753190118455,3.14967502153741e-05,1.83965804634527e-05
-8.02148230984624e-05,-7.73351999107047e-06,2.74240141950253e-05,-2.77516166027045e-06,2.2407834263891e-06,-1.83783693536247e-05,-1.90941156115793e-06,-1.17986613576558e-05,3.08371274236091e-05,4.08858435230627e-05,4.38587715828245e-05,4.58740527702569e-05,2.88606713537731e-05,3.14967502153741e-05,0.0458664289586307,4.18487880800147e-05
-0.000267353508159337,-4.55977044483288e-05,0.000312439581144934,6.54217511701597e-06,-0.00020575764378569,1.09458950100742e-05,1.56888168558574e-05,2.18013068495893e-05,9.21247546447211e-06,1.12316246862965e-05,-8.11853824913098e-05,2.324416155644e-05,1.80205503150813e-05,1.83965804634527e-05,4.18487880800147e-05,1931.95040582346
